# Overview
total_episodes,3
wins,3
losses,0
draws,0
win_rate,1.0
avg_reward,-26.625

# Edge Deltas
edge_key,avg_delta,episode_count

# Phase Usage
phase,tick_count

# Bandit Stats
parent,arm,pulls,mean_reward
